P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE

83D805DF,C,2014,,0,0

5DD96B9C,J,1977,34,29,19

5DD96B9E,C,2008,,0,0

83D805DC,C,2010,,0,0

230634B2,C,1988,,0,0

83D805DA,C,2013,,0,0

814C01A4,C,2008,,0,0

3560D4DA,C,2014,,0,0

814C01A0,J,1996,19,10,7

7DB79295,J,1992,23,4,3

86132DAC,C,2009,,0,0

144CBB6C,C,1995,,0,0

7B02F629,J,1937,,0,0

7B02F628,J,2010,,0,0

7B02F627,J,1997,12,4,4

0370AD3B,J,1992,,0,0

04C7D2FE,C,2013,,0,0

8102C532,C,2011,,0,0

75127D99,C,2003,,0,0

7B02F621,J,1987,10,1,1

83AD9BB7,C,2009,,0,0

72F8395C,C,1870,,0,0

05486534,C,2010,2,3,2

778C3CDB,J,2015,0,2,1

83AD9BB1,C,2008,,0,0

83AD9BB0,C,2008,,0,0

078F0C2C,C,2009,,0,0

1691A286,C,2002,,0,0

70C93E83,C,2014,,0,0

25344795,C,1973,,0,0

83AD9BBC,C,2008,,0,0

83AD9BBB,C,2012,,0,0

3E50229D,C,1994,,0,0

1691A28F,C,2003,,0,0

38E6E464,C,2003,,0,0

86132DA1,C,1997,,0,0

71DBF010,C,2006,,0,0

3AD85708,C,2015,,0,0

04C7D2F6,J,2000,14,11,8

784D2FA2,J,1974,,0,0

86132DA8,C,1998,,0,0

8102C53B,J,2008,7,16,6

8102C53C,C,2001,,0,0

7B02F62A,J,2003,12,3,3

76BBAF47,C,2008,,0,0

83D805D6,J,2004,,0,0

1195BC22,C,1994,,0,0

85091359,C,1998,5,1,1

265AC5DC,C,2011,,0,0

814C01AC,J,2011,,0,0

237B230E,C,2007,,0,0

237B230D,C,2013,,0,0

00F2877C,C,2005,,0,0

237B230A,J,2013,,0,0

75C5687F,J,1990,18,4,4

75C5687E,J,1979,30,1,1

578BA6D4,C,2012,,0,0

75C5687C,C,2013,,0,0

7914CC31,C,2010,,0,0

166F6EEC,C,1995,,0,0

13FFCBEB,J,2013,,0,0

00EBA5E3,C,1986,,0,0

2F0265C8,C,1991,,0,0

7324435A,C,2012,,0,0

80D86B4F,J,2009,5,2,2

5B19A858,C,2007,,0,0

302B7951,C,1999,,0,0

72F8DC10,J,1997,15,9,6

83CAA5E0,J,2012,,0,0

7827457A,J,1989,26,11,9

7827457B,J,2000,,0,0

83CAA5E5,C,1996,,0,0

83CAA5E9,C,2015,,0,0

6C222F8A,C,2004,,0,0

7FF43BE9,C,1978,,0,0

329A5B6A,C,2000,,0,0

76F5187C,J,1972,43,13,7

34764934,C,2015,,0,0

7B1A5D60,J,1983,30,9,6

126B568B,C,2011,,0,0

7FF43BE6,J,2014,1,4,2

751C245A,J,1929,,0,0

0B300F7F,C,2004,,0,0

61F5C23E,C,2012,,0,0

5A0F5D52,C,2011,,0,0

751C245F,J,2004,10,13,8

8142F5F2,J,2010,4,2,2

5F9BA5D5,C,2003,,0,0

3CE4B7A7,C,2007,,0,0

56A4BAC2,C,2015,,0,0

0B300F74,C,1965,,0,0

74F2A76B,C,2003,,0,0

668B2FB2,J,2000,,0,0

80C94937,C,2015,,0,0

751C2454,J,2007,7,4,3

751C2457,C,2013,,0,0

42C1ABB2,C,2014,,0,0

016FB182,C,2013,,0,0

60E83F21,C,1988,23,1,1

80C94939,J,2014,,0,0

83F0B5C7,C,2010,,0,0

5AE2E74C,C,1994,,0,0

83CAA5EC,C,2015,,0,0

78274577,J,2008,4,8,4

83CAA5ED,C,2013,,0,0

0BE31885,C,2006,,0,0

3BA934B9,C,2006,,0,0

78274579,J,2000,,0,0

0BE31883,C,2013,,0,0

24AE8BB1,C,1985,23,2,2

13FFCBE1,C,2015,,0,0

0064D0D6,C,2012,,0,0

5B1C9714,C,2011,,0,0

375B0CE0,C,2008,,0,0

5B1C9712,C,2013,,0,0

5B1C9713,C,2002,4,3,3

5B1C9711,J,1985,,0,0

6262FCC5,J,2015,0,1,1

64ABACEE,C,2015,,0,0

066B789D,C,2005,6,1,1

0AF4AED8,C,1973,,0,0

859AE127,C,1993,,0,0

126B5683,C,1973,,0,0

7B2C74FE,J,1985,,0,0

7B2C74FD,J,2007,7,29,7

7B2C74FF,J,2008,,0,0

0AF4AED5,C,2014,,0,0

0AF4AED4,C,1975,,0,0

7B2C74FC,C,1930,,0,0

7954F3DF,J,2012,,0,0

74B889C4,C,2009,,0,0

10DB20F7,C,1993,,0,0

5FCFA1DC,C,1974,,0,0

8386A26B,C,2001,,0,0

837CF93B,C,2013,,0,0

837CF93A,C,2002,,0,0

8386A26A,C,2004,9,1,1

2727B4C3,C,1971,,0,0

03AFBCD5,C,2011,,0,0

04B22727,C,2011,,0,0

